From Kumbalangi
06:25
06:45
07:00
07:15
07:30
07:45
08:00
08:15
08:30
08:45
09:00
09:20
09:40
10:00
10:30
10:55
11:20
11:45
12:10
12:35
13:00
13:20
14:00
14:25
14:50
15:15
15:40
16:05
16:30
16:55
17:10
17:30
17:50
18:10
18:30
18:50
19:10
19:30
19:50
20:15
20:35
21:00
